State,County,Topic,Age,LocationID,Data_Value,Low_Bound,Up_Bound
AK,Aleutians East,Coronary Heart Disease,Ages 35-64 years,40260,499.5,258.0,880.1999999999999
AK,Aleutians East,Coronary Heart Disease,Ages 65 years and older,40260,0.0,0.0,0.0
AK,Aleutians East,Stroke,Ages 35-64 years,40260,148.0,79.9,261.7
AK,Aleutians East,Stroke,Ages 65 years and older,40260,0.0,0.0,0.0
AK,Aleutians West,Coronary Heart Disease,Ages 35-64 years,40320,663.6,402.3,1121.2
AK,Aleutians West,Coronary Heart Disease,Ages 65 years and older,40320,0.0,0.0,0.0
AK,Aleutians West,Stroke,Ages 35-64 years,40320,149.5,91.2,267.4
AK,Aleutians West,Stroke,Ages 65 years and older,40320,0.0,0.0,0.0
AK,Anchorage,Coronary Heart Disease,Ages 35-64 years,40400,1079.5,894.6,1307.7
AK,Anchorage,Coronary Heart Disease,Ages 65 years and older,40400,11032.4,9443.9,12824.7
AK,Anchorage,Stroke,Ages 35-64 years,40400,281.6,203.9,390.8
AK,Anchorage,Stroke,Ages 65 years and older,40400,6751.0,5565.5,8131.9
AK,Bethel,Coronary Heart Disease,Ages 35-64 years,41000,968.9,723.0,1282.4
AK,Bethel,Coronary Heart Disease,Ages 65 years and older,41000,11154.3,8857.3,14554.4
AK,Bethel,Stroke,Ages 35-64 years,41000,300.6,192.9,444.9
AK,Bethel,Stroke,Ages 65 years and older,41000,9600.0,7496.4,12571.9
AK,Bristol Bay,Coronary Heart Disease,Ages 35-64 years,41200,0.0,0.0,0.0
AK,Bristol Bay,Coronary Heart Disease,Ages 65 years and older,41200,0.0,0.0,0.0
AK,Bristol Bay,Stroke,Ages 35-64 years,41200,0.0,0.0,0.0
AK,Bristol Bay,Stroke,Ages 65 years and older,41200,0.0,0.0,0.0
AK,Denali,Coronary Heart Disease,Ages 35-64 years,41360,1107.9,649.9,1726.8
AK,Denali,Coronary Heart Disease,Ages 65 years and older,41360,0.0,0.0,0.0
AK,Denali,Stroke,Ages 35-64 years,41360,173.6,103.8,272.5
AK,Denali,Stroke,Ages 65 years and older,41360,0.0,0.0,0.0
AK,Dillingham,Coronary Heart Disease,Ages 35-64 years,41400,978.6,635.7,1504.1
AK,Dillingham,Coronary Heart Disease,Ages 65 years and older,41400,0.0,0.0,0.0
AK,Dillingham,Stroke,Ages 35-64 years,41400,274.1,174.1,440.90000000000003
AK,Dillingham,Stroke,Ages 65 years and older,41400,0.0,0.0,0.0
AK,Fairbanks North Star,Coronary Heart Disease,Ages 35-64 years,41800,1229.6,971.1,1579.8
AK,Fairbanks North Star,Coronary Heart Disease,Ages 65 years and older,41800,11541.2,9283.7,14247.3
AK,Fairbanks North Star,Stroke,Ages 35-64 years,41800,242.7,166.4,363.1
AK,Fairbanks North Star,Stroke,Ages 65 years and older,41800,7074.6,5429.5,8960.1
AK,"Juneau, Hoonah-Angoon, Skagway, Haines",Coronary Heart Disease,Ages 35-64 years,58040,982.4,686.0,1364.8
AK,"Juneau, Hoonah-Angoon, Skagway, Haines",Coronary Heart Disease,Ages 65 years and older,58040,9281.6,7112.5,11780.199999999999
AK,"Juneau, Hoonah-Angoon, Skagway, Haines",Stroke,Ages 35-64 years,58040,230.4,142.9,374.4
AK,"Juneau, Hoonah-Angoon, Skagway, Haines",Stroke,Ages 65 years and older,58040,5588.9,4051.9,7373.6
AK,Kenai Peninsula,Coronary Heart Disease,Ages 35-64 years,42440,1195.8,933.7,1498.8
